iteration,cost
1,32776
2,32290
3,32920
4,33127
5,32371
6,32128
7,32407
8,32326
9,32740
10,33298
11,32785
12,33127
13,33352
14,32830
15,32704
16,32614
17,32299
18,32812
19,33217
20,32668
21,33001
22,32983
23,33064
24,32227
25,32380
26,33424
27,32308
28,32578
29,32398
30,32722
31,32200
32,32290
33,33082
34,33163
35,32398
36,33145
37,32128
38,32659
39,33055
40,32497
41,32686
42,32758
43,32623
44,33307
45,32488
46,32416
47,32209
48,32929
49,32974
50,32767
51,32713
52,33073
53,31795
54,33388
55,32776
56,33055
57,32965
58,32920
59,32344
60,32281
61,31813
62,33064
63,33460
64,32344
65,32578
66,32551
67,33550
68,32398
69,32722
70,33037
71,32659
72,32182
73,32326
74,32866
75,33298
76,33109
77,32938
78,33298
79,32533
80,33010
81,32182
82,32227
83,32956
84,32785
85,32884
86,33046
87,33019
88,32632
89,33109
90,32299
91,32929
92,32884
93,32632
94,32353
95,33028
96,32920
97,33181
98,32686
99,33289
100,32686
